"id","created","edited","cargo_capacity","consumables","cost_in_credits","crew","length","manufacturer","max_atmosphering_speed","model","name","passengers","MGLT","starship_class"
2,"2014-12-10 14:20:33.369","2014-12-20 21:23:49.867","3000000","1 year","3500000","30-165","150","Corellian Engineering Corporation","950","CR90 corvette","CR90 corvette","600","60","corvette"
3,"2014-12-10 15:08:19.848","2014-12-20 21:23:49.87","36000000","2 years","150000000","47,060","1,600","Kuat Drive Yards","975","Imperial I-class Star Destroyer","Star Destroyer","n/a","60","Star Destroyer"
5,"2014-12-10 15:48:00.586","2014-12-20 21:23:49.873","180000","1 month","240000","5","38","Sienar Fleet Systems, Cyngus Spaceworks","1000","Sentinel-class landing craft","Sentinel-class landing craft","75","70","landing craft"
9,"2014-12-10 16:36:50.509","2014-12-20 21:26:24.783","1000000000000","3 years","1000000000000","342,953","120000","Imperial Department of Military Research, Sienar Fleet Systems","n/a","DS-1 Orbital Battle Station","Death Star","843,342","10","Deep Space Mobile Battlestation"
10,"2014-12-10 16:59:45.094","2014-12-20 21:23:49.88","100000","2 months","100000","4","34.37","Corellian Engineering Corporation","1050","YT-1300 light freighter","Millennium Falcon","6","75","Light freighter"
11,"2014-12-12 11:00:39.817","2014-12-20 21:23:49.883","110","1 week","134999","2","14","Koensayr Manufacturing","1000km","BTL Y-wing","Y-wing","0","80","assault starfighter"
12,"2014-12-12 11:19:05.34","2014-12-20 21:23:49.886","110","1 week","149999","1","12.5","Incom Corporation","1050","T-65 X-wing","X-wing","0","100","Starfighter"
13,"2014-12-12 11:21:32.991","2014-12-20 21:23:49.889","150","5 days","unknown","1","9.2","Sienar Fleet Systems","1200","Twin Ion Engine Advanced x1","TIE Advanced x1","0","105","Starfighter"
15,"2014-12-15 12:31:42.547","2014-12-20 21:23:49.893","250000000","6 years","1143350000","279,144","19,000","Kuat Drive Yards, Fondor Shipyards","n/a","Executor-class star dreadnought","Executor","38,000","40","Star dreadnought"
17,"2014-12-15 12:34:52.264","2014-12-20 21:23:49.895","19000000","6 months","unknown","6","90","Gallofree Yards, Inc.","650","GR-75 medium transport","Rebel transport","90","20","Medium transport"
21,"2014-12-15 13:00:56.332","2014-12-20 21:23:49.897","70000","1 month","unknown","1","21.5","Kuat Systems Engineering","1000","Firespray-31-class patrol and attack","Slave 1","6","70","Patrol craft"
22,"2014-12-15 13:04:47.235","2014-12-20 21:23:49.9","80000","2 months","240000","6","20","Sienar Fleet Systems","850","Lambda-class T-4a shuttle","Imperial shuttle","20","50","Armed government transport"
23,"2014-12-15 13:06:30.813","2014-12-20 21:23:49.902","6000000","2 years","8500000","854","300","Kuat Drive Yards","800","EF76 Nebulon-B escort frigate","EF76 Nebulon-B escort frigate","75","40","Escort ship"
27,"2014-12-18 10:54:57.804","2014-12-20 21:23:49.904","unknown","2 years","104000000","5400","1200","Mon Calamari shipyards","n/a","MC80 Liberty type Star Cruiser","Calamari Cruiser","1200","60","Star Cruiser"
28,"2014-12-18 11:16:34.542","2014-12-20 21:23:49.907","40","1 week","175000","1","9.6","Alliance Underground Engineering, Incom Corporation","1300","RZ-1 A-wing Interceptor","A-wing","0","120","Starfighter"
29,"2014-12-18 11:18:04.763","2014-12-20 21:23:49.909","45","1 week","220000","1","16.9","Slayn & Korpil","950","A/SF-01 B-wing starfighter","B-wing","0","91","Assault Starfighter"
31,"2014-12-19 17:01:31.488","2014-12-20 21:23:49.912","unknown","unknown","unknown","9","115","Corellian Engineering Corporation","900","Consular-class cruiser","Republic Cruiser","16","unknown","Space cruiser"
32,"2014-12-19 17:04:06.323","2014-12-20 21:23:49.915","4000000000","500 days","unknown","175","3170","Hoersch-Kessel Drive, Inc.","n/a","Lucrehulk-class Droid Control Ship","Droid control ship","139000","unknown","Droid control ship"
39,"2014-12-19 17:39:17.582","2014-12-20 21:23:49.917","65","7 days","200000","1","11","Theed Palace Space Vessel Engineering Corps","1100","N-1 starfighter","Naboo fighter","0","unknown","Starfighter"
40,"2014-12-19 17:45:03.506","2014-12-20 21:23:49.919","unknown","unknown","unknown","8","76","Theed Palace Space Vessel Engineering Corps, Nubia Star Drives","920","J-type 327 Nubian royal starship","Naboo Royal Starship","unknown","unknown","yacht"
41,"2014-12-20 09:39:56.116","2014-12-20 21:23:49.922","2500000","30 days","55000000","1","26.5","Republic Sienar Systems","1180","Star Courier","Scimitar","6","unknown","Space Transport"
43,"2014-12-20 11:05:51.237","2014-12-20 21:23:49.925","unknown","1 year","2000000","5","39","Theed Palace Space Vessel Engineering Corps, Nubia Star Drives","2000","J-type diplomatic barge","J-type diplomatic barge","10","unknown","Diplomatic barge"
47,"2014-12-20 17:24:23.509","2014-12-20 21:23:49.928","unknown","unknown","unknown","unknown","390","Botajef Shipyards","unknown","Botajef AA-9 Freighter-Liner","AA-9 Coruscant freighter","30000","unknown","freighter"
48,"2014-12-20 17:35:23.906","2014-12-20 21:23:49.93","60","7 days","180000","1","8","Kuat Systems Engineering","1150","Delta-7 Aethersprite-class interceptor","Jedi starfighter","0","unknown","Starfighter"
49,"2014-12-20 17:46:46.847","2014-12-20 21:23:49.932","unknown","unknown","unknown","4","47.9","Theed Palace Space Vessel Engineering Corps","8000","H-type Nubian yacht","H-type Nubian yacht","unknown","unknown","yacht"
52,"2014-12-20 18:08:42.926","2014-12-20 21:23:49.935","11250000","2 years","unknown","700","752","Rothana Heavy Engineering","unknown","Acclamator I-class assault ship","Republic Assault ship","16000","unknown","assault ship"
58,"2014-12-20 18:37:56.969","2014-12-20 21:23:49.937","240","7 days","35700","3","15.2","Huppla Pasa Tisc Shipwrights Collective","1600","Punworcca 116-class interstellar sloop","Solar Sailer","11","unknown","yacht"
59,"2014-12-20 19:40:21.902","2014-12-20 21:23:49.941","50000000","4 years","125000000","600","1088","Rendili StarDrive, Free Dac Volunteers Engineering corps.","1050","Providence-class carrier/destroyer","Trade Federation cruiser","48247","unknown","capital ship"
61,"2014-12-20 19:48:40.409","2014-12-20 21:23:49.944","50000","56 days","1000000","5","18.5","Cygnus Spaceworks","2000","Theta-class T-2c shuttle","Theta-class T-2c shuttle","16","unknown","transport"
63,"2014-12-20 19:52:56.232","2014-12-20 21:23:49.946","20000000","2 years","59000000","7400","1137","Kuat Drive Yards, Allanteen Six shipyards","975","Senator-class Star Destroyer","Republic attack cruiser","2000","unknown","star destroyer"
