"id","created","edited","cargo_capacity","consumables","cost_in_credits","crew","length","manufacturer","max_atmosphering_speed","model","name","passengers","vehicle_class"
4,"2014-12-10 15:36:25.724","2014-12-20 21:30:21.661","50000","2 months","150000","46","36.8 ","Corellia Mining Corporation","30","Digger Crawler","Sand Crawler","30","wheeled"
6,"2014-12-10 16:01:52.434","2014-12-20 21:30:21.665","50","0","14500","1","10.4 ","Incom Corporation","1200","T-16 skyhopper","T-16 skyhopper","1","repulsorcraft"
7,"2014-12-10 16:13:52.586","2014-12-20 21:30:21.668","5","unknown","10550","1","3.4 ","SoroSuub Corporation","250","X-34 landspeeder","X-34 landspeeder","1","repulsorcraft"
8,"2014-12-10 16:33:52.86","2014-12-20 21:30:21.67","65","2 days","unknown","1","6.4","Sienar Fleet Systems","1200","Twin Ion Engine/Ln Starfighter","TIE/LN starfighter","0","starfighter"
14,"2014-12-15 12:22:12","2014-12-20 21:30:21.672","10","none","unknown","2","4.5","Incom corporation","650","t-47 airspeeder","Snowspeeder","0","airspeeder"
16,"2014-12-15 12:33:15.838","2014-12-20 21:30:21.675","none","2 days","unknown","1","7.8","Sienar Fleet Systems","850","TIE/sa bomber","TIE bomber","0","space/planetary bomber"
18,"2014-12-15 12:38:25.937","2014-12-20 21:30:21.677","1000","unknown","unknown","5","20","Kuat Drive Yards, Imperial Department of Military Research","60","All Terrain Armored Transport","AT-AT","40","assault walker"
19,"2014-12-15 12:46:42.384","2014-12-20 21:30:21.679","200","none","unknown","2","2","Kuat Drive Yards, Imperial Department of Military Research","90","All Terrain Scout Transport","AT-ST","0","walker"
20,"2014-12-15 12:58:50.53","2014-12-20 21:30:21.681","10","1 day","75000","2","7","Bespin Motors","1500","Storm IV Twin-Pod","Storm IV Twin-Pod cloud car","0","repulsorcraft"
24,"2014-12-18 10:44:14.217","2014-12-20 21:30:21.684","2000000","Live food tanks","285000","26","30","Ubrikkian Industries Custom Vehicle Division","100","Modified Luxury Sail Barge","Sail barge","500","sail barge"
25,"2014-12-18 10:48:03.208","2014-12-20 21:30:21.688","135000","1 day","8000","5","9.5","Ubrikkian Industries","250","Bantha-II","Bantha-II cargo skiff","16","repulsorcraft cargo skiff"
26,"2014-12-18 10:50:28.225","2014-12-20 21:30:21.691","75","2 days","unknown","1","9.6","Sienar Fleet Systems","1250","Twin Ion Engine Interceptor","TIE/IN interceptor","0","starfighter"
30,"2014-12-18 11:20:04.625","2014-12-20 21:30:21.693","4","1 day","8000","1","3","Aratech Repulsor Company","360","74-Z speeder bike","Imperial Speeder Bike","1","speeder"
33,"2014-12-19 17:09:53.584","2014-12-20 21:30:21.697","0","none","unknown","0","3.5","Haor Chall Engineering, Baktoid Armor Workshop","1200","Vulture-class droid starfighter","Vulture Droid","0","starfighter"
34,"2014-12-19 17:12:04.4","2014-12-20 21:30:21.7","12000","unknown","138000","4","31","Baktoid Armor Workshop","35","Multi-Troop Transport","Multi-Troop Transport","112","repulsorcraft"
35,"2014-12-19 17:13:29.799","2014-12-20 21:30:21.703","unknown","unknown","unknown","4","9.75","Baktoid Armor Workshop","55","Armoured Assault Tank","Armored Assault Tank","6","repulsorcraft"
36,"2014-12-19 17:15:09.511","2014-12-20 21:30:21.705","none","none","2500","1","2","Baktoid Armor Workshop","400","Single Trooper Aerial Platform","Single Trooper Aerial Platform","0","repulsorcraft"
37,"2014-12-19 17:20:36.373","2014-12-20 21:30:21.707","1800000","1 day","200000","140","210","Haor Chall Engineering","587","C-9979 landing craft","C-9979 landing craft","284","landing craft"
